Horodateur,Sexe,Age,Situation Socio-Professionnelle,Niveau d'études,Qu'est ce qui influence votre envie de répondre à des questionnaires ? [la clarté des questions],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [la longueur],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La personne qui le crée ],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [L'heure de la journée],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Le sujet],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [L'objectif],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Organisation des questions],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La langue ],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Méthode de partage],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Récompenses],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La qualité des questions],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [La personne qui vous l'envoie],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Le temps requis],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Votre Humeur],Qu'est ce qui influence votre envie de répondre à des questionnaires ? [Le réseau Social sur lequel il se situe],"Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Vehicules]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Technologies]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Social]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Sport]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Etudes]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Clubs]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Sciences]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Cosmetiques]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Economie]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Jeux Videos]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Mode]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Recherches et Developpement]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Politique]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Musique]","Sur Une Echelle de 1 à 5, A quels point trouvez-vous les sujets de questionnaires suivants Intéressants ? [Orientation]",Avez-vous déjà abandonné un questionnaire en raison de sa longueur,Préférez-vous les questionnaires en ligne par rapport aux questionnaires papier?,Avez-vous déjà fourni de fausses informations dans un questionnaire,Est-ce que l'anonymat des réponses est un critère important ?,Avez-vous déjà créé un questionnaire ?,Considérez-vous les questionnaires comme une méthode efficace pour exprimer votre opinion?,Avez-vous déjà participé à un sondage en ligne ?,Trouvez-vous que les questionnaires vous permettent de réfléchir à des questions auxquelles vous n'avez jamais réfléchis ?,Pensez-vous que votre humeur ou votre état d'esprit influence votre propension à répondre à un questionnaire?,"Si vous connaissez la personne ayant rédigé le questionnaire, est-ce que cela pourrait influencer vos réponses ?","Quelles informations seriez-vous réticents à fournir dans un questionnaire, même de manière anonyme?",Comment choisissez-vous les questionnaires auxquels vous décidez de répondre?,Avez-vous des préférences quant au format des questions dans un questionnaire ?,Combien de temps au maximum vous passez à répondre à un questionnaire ?,A quel point est-ce que ce questionnaire vous semble long ?
06/12/2023 09:51:38,M,18-25,Etudiant,Master,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,Neutre,Plutôt D'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,5,5,5,2,2,2,3,1,1,5,4,5,5,5,2,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Personnelles,Amis,Echelle de Likert (1-5),5min,3
06/12/2023 09:57:17,F,18-25,Etudiant,Master,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Neutre,Neutre,Neutre,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,3,4,4,5,4,4,5,4,3,3,4,4,2,5,5,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Vie privee,Au hazard,Echelle de Likert (1-5),3min,3
06/12/2023 09:59:31,F,18-25,Etudiant,Master,Tout à fait D'accord,Tout à fait D'accord,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,5,5,5,3,4,5,5,5,4,4,5,5,2,3,3,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,salaire,Selon le sujet,Echelle de Likert (1-5),5 minutes,1
06/12/2023 10:01:09,M,18-25,Etudiant,Master,Neutre,Plutôt D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Neutre,Neutre,Tout à fait D'accord,Pas d'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,4,5,4,3,3,3,5,1,1,5,2,3,2,5,4,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Vie amoureuse ,Je ne choisis pas,QCM,10min,2
06/12/2023 10:04:54,M,18-25,Etudiant,Licence,Neutre,Plutôt D'accord,Plutôt D'accord,Pas du tout d'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Neutre,Tout à fait D'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Plutôt D'accord,4,4,3,4,3,3,4,2,2,5,4,4,1,5,4,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,jsp,jsp,QCM,1h,3
06/12/2023 10:04:54,F,18-25,Etudiant,Master,Plutôt D'accord,Plutôt D'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Neutre,Tout à fait D'accord,Tout à fait D'accord,Neutre,Tout à fait D'accord,Pas d'accord,Neutre,Plutôt D'accord,Plutôt D'accord,Neutre,5,3,4,2,4,3,3,4,4,2,5,3,3,3,1,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,.,.,QCM,5min,2
06/12/2023 10:09:12,F,18-25,Etudiant,Master,Tout à fait D'accord,Neutre,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas du tout d'accord,Pas du tout d'accord,Neutre,Neutre,Plutôt D'accord,Tout à fait D'accord,Pas d'accord,1,5,5,2,5,1,3,2,2,4,4,5,4,4,4,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Vie privé,Selon le sujet,QCM,Ça dependde longeur de liste generalement 5 minute maximum,3
06/12/2023 10:18:00,F,18-25,Etudiant,Master,Tout à fait D'accord,Plutôt D'accord,Pas d'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Pas d'accord,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,2,5,5,5,5,4,4,2,4,1,2,4,5,5,4,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Les secrets de famille.,"1)Quand le sujet qui m'intéresse. 2)Quand il s'agit de cocher la bonne réponse, sans falloir écrire et rédiger. ",Echelle de Likert (1-5),5 minutes. ,3
06/12/2023 10:54:01,M,25-40,Etudiant,Licence,Tout à fait D'accord,Plutôt D'accord,Plutôt D'accord,Pas d'accord,Neutre,Plutôt D'accord,Pas d'accord,Neutre,Plutôt D'accord,Neutre,Plutôt D'accord,Tout à fait D'accord,Plutôt D'accord,Neutre,Neutre,5,5,1,4,4,2,5,1,1,5,1,4,1,4,2,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,-,"Ca depend de qui l'envoie, pour quoi, sur quoi",QCM,5 min,2
06/12/2023 11:13:21,M,18-25,Etudiant,Licence,Tout à fait D'accord,Plutôt D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Pas d'accord,Pas d'accord,Pas du tout d'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,Tout à fait D'accord,3,4,4,3,4,2,5,1,2,2,1,2,1,5,2,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Informations personnelles ,"Personne qui l'a fait, personne qui l'envoie  pas de réponses rédigées (courtes ou longues) que des QCMs ou des ÉCHELLES ",QCM,3/5 mins ,3
